iteration,root,,
1,4.43,,-89.28730386
2,-3937.33,100.113,88889.49373
3,-2624,50.0508,59243.21834
4,-1748.44,50.0762,39478.88425
5,-1164.74,50.1143,26302.81202
6,-775.607,50.1716,17518.77139
7,-516.185,50.2575,11662.7443
8,-343.239,50.3867,7758.771387
9,-227.943,50.581,5156.152877
10,-151.082,50.8737,3421.14159
11,-99.8457,51.3153,2264.565969
12,-65.6948,51.9841,1493.665292
13,-42.9373,53.0017,979.9519738
14,-27.7799,54.5623,637.7984749
15,-17.6958,56.9857,410.1664207
16,-11.0029,60.8285,259.0851566
17,-6.58269,67.1495,159.3061499
18,-3.69214,78.2893,94.0567142
19,-1.83725,100.96,52.18560811
20,-0.687218,167.346,26.22551781
21,-0.0175014,3826.64,11.10776161
22,0.325508,105.377,3.36488576
23,0.453088,28.1579,0.484976053
24,0.474003,4.41252,0.012854157
25,0.474572,0.119901,9.91323E-06
,0.474572439,,0
